label,instance_id,n_frames,f0,f1
research,1,71,-0.06,-0.05
wild,3,56,-0.05,-0.16
polite,1,53,-0.05,-0.15
hot,3,52,-0.07,-0.17
know,1,53,-0.04,-0.16
when,1,57,-0.05,-0.17
sad,2,52,-0.05,-0.17
you,2,52,-0.05,-0.16
surprise,1,52,-0.05,-0.17
not,my,54,-0.17,-0.04
voluntary,3,57,-0.06,-0.16
alive,1,56,-0.07,-0.15
hurry,2,54,-0.06,-0.11
building,2,70,-0.02,-0.04
exit,1,55,-0.11,-0.07
I,1,55,-0.05,-0.16
mine,1,70,-0.05,-0.16
science,3,81,-0.05,-0.17
question,1,53,-0.03,-0.05
girl,1,57,-0.05,-0.17
soon,3,55,-0.05,-0.17
eat,1,55,-0.04,-0.17
cost,1,51,-0.13,-0.1
innocent,1,55,-0.06,-0.16
eat,2,57,-0.06,-0.17
sad,1,52,-0.07,-0.16
us,1,57,-0.07,-0.16
no,3,51,-0.05,-0.16
what,3,53,-0.05,-0.18
his_hers,3,58,-0.07,-0.16
I,3,52,-0.05,-0.17
voluntary,1,57,-0.06,-0.18
where,1,55,-0.15,-0.13
lose,1,54,-0.1,-0.09
cold,1,52,-0.12,0.0
hurt,2,59,-0.07,-0.16
paper,3,62,-0.08,-0.14
happy,2,55,-0.1,-0.11
thank,1,65,-0.05,-0.15
hurry,3,58,-0.06,-0.13
go,3,54,-0.04,-0.02
please,3,54,-0.06,-0.17
more,2,50,-0.04,-0.16
maybe,1,55,-0.05,-0.16
sad,3,49,-0.05,-0.17
boy,3,81,-0.05,-0.16
share,1,69,-0.07,-0.11
who,3,56,-0.05,-0.17
crazy,2,60,-0.06,-0.18
man,2,72,-0.06,-0.17
know,2,53,-0.04,-0.17
drink,3,55,-0.06,-0.16
soon,1,58,-0.07,-0.15
different,2,54,-0.04,-0.14
draw,3,61,-0.11,-0.08
shop,3,57,-0.12,-0.11
exit,2,74,-0.05,-0.01
hear,3,61,-0.05,-0.17
building,1,62,-0.06,-0.04
not,my,66,-0.17,-0.08
make,2,63,-0.05,-0.11
take,1,54,-0.05,-0.17
deaf,2,55,-0.05,-0.17
glove,1,55,-0.12,-0.07
spend,3,73,-0.06,-0.12
